u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,junction,bridge,tunnel
3583517820,6496830115,0,352595209,Ridgely Avenue,residential,False,False,5.526,"LINESTRING (-8516056.339282043 4719775.348160592, -8516057.441345 4719782.38000116)",,,,,,no,
3583517821,7985096507,0,11516103,Juniper Street,residential,False,False,64.763,"LINESTRING (-8515958.723220566 4719820.876192392, -8515902.384426275 4719882.387337059)",,,,,,no,
3583517821,7985096490,0,11516767,Tulip Road,residential,False,False,63.41,"LINESTRING (-8515958.723220566 4719820.876192392, -8515901.649717638 4719762.458852456)",,,,,,no,
3583517821,102572063,0,"[11504741, 11516767]","['Yerbury Road', 'Tulip Road']",residential,False,True,137.767,"LINESTRING (-8515958.723220566 4719820.876192392, -8516018.635370512 4719893.013980069, -8516021.629864814 4719903.855458878, -8515967.74009932 4719952.234088185)",,,,,,no,
3583517825,102587075,0,352595209,Ridgely Avenue,residential,False,False,52.023,"LINESTRING (-8516078.714499693 4719931.739738348, -8516090.013428008 4719956.759750339, -8516097.805792363 4719966.727671572, -8516117.676321471 4719984.859001703)",,,,,,no,
3583517825,6495077016,0,352595209,Ridgely Avenue,residential,False,True,57.043,"LINESTRING (-8516078.714499693 4719931.739738348, -8516076.499241825 4719896.952428758, -8516074.673602177 4719865.273023011, -8516074.15040057 4719858.412983903)",,,,,,no,
3583517854,102587075,0,192889421,Taylor Avenue,primary,False,False,66.918,"LINESTRING (-8516174.170963047 4719919.766817994, -8516117.676321471 4719984.859001703)",2,MD 435,,,,no,
3583517854,639282744,0,"[1332106172, 192889421]",Taylor Avenue,primary,False,True,97.58800000000001,"LINESTRING (-8516174.170963047 4719919.766817994, -8516190.189837772 4719901.306206545, -8516241.619442519 4719842.043431255, -8516243.92375598 4719839.393943592, -8516256.558518184 4719824.843256121)","['4', '2']",MD 435,,,,no,
2975737037,102594914,0,50319302,King George Street,tertiary,False,False,119.445,"LINESTRING (-8514315.36923773 4718711.663006398, -8514433.657328648 4718809.998649589)",2,,25 mph,,,no,
2975737037,12112019635,0,11516639,Randall Street,tertiary,False,False,129.751,"LINESTRING (-8514315.36923773 4718711.663006398, -8514382.72866161 4718634.636233332, -8514424.172908032 4718584.860552158)",,,,,,no,
2975737037,1304062043,0,115407690,King George Street,residential,False,True,17.381999999999998,"LINESTRING (-8514315.36923773 4718711.663006398, -8514306.140851943 4718704.503028851, -8514297.680570643 4718697.944493855)",,,,private,,no,
2975737037,2971465762,0,293941655,East Street,residential,True,False,114.77799999999999,"LINESTRING (-8514315.36923773 4718711.663006398, -8514340.015372993 4718713.768040759, -8514461.754368123 4718695.667623528)",,,,,,no,
102638844,8413536022,0,1071788458,Tucker Street,residential,False,False,79.884,"LINESTRING (-8515954.314968731 4720238.514841104, -8516030.947306192 4720307.175302186)",,,,,,no,
102638943,12112019619,0,11516455,Prince George Street,residential,False,False,97.038,"LINESTRING (-8514209.871756304 4718399.507000128, -8514306.497074315 4718478.751529636)",,,,,,no,
102638947,12112019635,0,11516639,Randall Street,tertiary,False,True,5.833,"LINESTRING (-8514428.981910033 4718579.089682031, -8514424.172908032 4718584.860552158)",,,,,,no,
102638947,12112019634,0,294005889,Prince George Street,residential,True,False,6.213,"LINESTRING (-8514428.981910033 4718579.089682031, -8514435.160141774 4718584.173202691)",,,,,,no,
102638947,12112019632,0,294265633,Randall Street,tertiary,False,False,5.676,"LINESTRING (-8514428.981910033 4718579.089682031, -8514433.612800851 4718573.433373306)",,,,,,no,
764814696,9630733081,0,1303099420,Monticello Avenue,residential,False,True,8.691,"LINESTRING (-8516201.722537018 4718318.415886531, -8516198.249368904 4718307.77657435)",,,,,,no,
764814696,2970527134,0,1191539892,West Street,primary,False,False,24.209,"LINESTRING (-8516201.722537018 4718318.415886531, -8516212.064117715 4718314.721480764, -8516231.244465977 4718308.406627519)",2,MD 450,25 mph,,,no,
764814696,102599278,0,1191539892,West Street,primary,False,True,25.972,"LINESTRING (-8516201.722537018 4718318.415886531, -8516192.093401065 4718321.737988987, -8516170.28591282 4718329.828458574)",2,MD 450,25 mph,,,no,
2970527134,102612488,0,"[1191539892, 11513124]","['Amos Garrett Boulevard', 'West Street']","['residential', 'primary']",False,"[False, True]",240.47999999999996,"LINESTRING (-8516231.244465977 4718308.406627519, -8516269.271204032 4718296.106278402, -8516308.689435722 4718285.352434764, -8516331.242764559 4718279.567415739, -8516307.1420948 4718168.865125676, -8516305.661545573 4718162.034872625, -8516303.802510077 4718153.5149617465, -8516287.527600523 4718078.697564405)",2,MD 450,25 mph,,,no,
2970527134,764814696,0,1191539892,West Street,primary,False,True,24.209,"LINESTRING (-8516231.244465977 4718308.406627519, -8516212.064117715 4718314.721480764, -8516201.722537018 4718318.415886531)",2,MD 450,25 mph,,,no,
5184562690,102571993,0,377851562,Maryland Avenue,residential,False,False,20.619,"LINESTRING (-8514437.49785108 4719232.264202655, -8514454.351621985 4719211.742666859)",,,,,,no,
5184562690,3812553074,0,377851562,Maryland Avenue,residential,False,True,47.261,"LINESTRING (-8514437.49785108 4719232.264202655, -8514398.858855827 4719279.293475559)",,,,,,no,
5184562694,3812745895,0,11504726,Decatur Road,residential,False,False,79.463,"LINESTRING (-8514537.36256627 4719281.412948538, -8514458.971380854 4719215.62356821)",,,,,,no,
5184562694,4836073081,0,11504726,Decatur Road,residential,False,True,35.033,"LINESTRING (-8514537.36256627 4719281.412948538, -8514571.927268162 4719310.412538858)",,,,,,no,
5184562695,4836073064,0,11518478,Parker Lane,residential,True,False,48.006,"LINESTRING (-8514622.822539352 4719258.571354311, -8514581.912626486 4719304.927671712)",,,,,,no,
5184562697,102598425,0,377851562,Maryland Avenue,residential,False,False,41.672,"LINESTRING (-8514500.304307785 4719155.791977402, -8514534.368071968 4719114.319641036)",,,,,,no,
5184562697,102576468,0,377851562,Maryland Avenue,residential,False,True,5.603,"LINESTRING (-8514500.304307785 4719155.791977402, -8514495.717944764 4719161.362687441)",,,,,,no,
8411948946,7786302870,0,11505463,Pleasant Street,residential,False,False,67.77799999999999,"LINESTRING (-8515705.449115112 4718629.810444569, -8515705.805337485 4718676.57916473, -8515705.13742054 4718717.090272748)",,,,,,no,
8411948946,8411948946,0,"[905820915, 11505463]",Pleasant Street,residential,False,True,80.88900000000001,"LINESTRING (-8515705.449115112 4718629.810444569, -8515705.549302654 4718605.781773885, -8515683.441251783 4718605.481057867, -8515677.674902162 4718607.543110743, -8515674.68040786 4718611.251943015, -8515673.834379727 4718618.984647869, -8515674.580220317 4718625.772249211, -8515679.645257149 4718630.096841463, -8515686.346690495 4718630.841473428, -8515705.449115112 4718629.810444569)",,,,,,no,
8411948946,8411948946,1,"[905820915, 11505463]",Pleasant Street,residential,False,False,80.88900000000001,"LINESTRING (-8515705.449115112 4718629.810444569, -8515686.346690495 4718630.841473428, -8515679.645257149 4718630.096841463, -8515674.580220317 4718625.772249211, -8515673.834379727 4718618.984647869, -8515674.68040786 4718611.251943015, -8515677.674902162 4718607.543110743, -8515683.441251783 4718605.481057867, -8515705.549302654 4718605.781773885, -8515705.449115112 4718629.810444569)",,,,,,no,
1648584953,10031857084,0,11511296,Franklin Street,residential,False,True,8.696,"LINESTRING (-8515354.058010476 4718327.995572863, -8515359.301158492 4718318.100859629)",,,,,,no,
1648584953,1648584940,0,152027148,Richards Lane,residential,False,False,116.316,"LINESTRING (-8515354.058010476 4718327.995572863, -8515229.970174087 4718244.098447985)",,,,,,no,
1648584953,10031857043,0,11511296,Franklin Street,residential,False,False,73.557,"LINESTRING (-8515354.058010476 4718327.995572863, -8515342.280408349 4718351.407848848, -8515329.81262538 4718370.739126645, -8515301.203516247 4718406.136939736)",,,,,,no,
102639736,102631015,0,1303089562,Southgate Avenue,residential,False,False,44.644,"LINESTRING (-8515265.247320719 4717861.909218169, -8515315.18524429 4717890.389272142)",,,,,,no,
102639738,102622192,0,11516618,Southgate Avenue,residential,False,False,98.308,"LINESTRING (-8515620.868566008 4718068.688542013, -8515730.25109766 4718132.4228434265)",,,,,,no,
102639738,102607662,0,11516618,Southgate Avenue,residential,False,True,85.485,"LINESTRING (-8515620.868566008 4718068.688542013, -8515526.213602986 4718012.4864180675)",,,,,,no,
102639738,102653935,0,11519447,Thompson Street,residential,False,True,231.02,"LINESTRING (-8515620.868566008 4718068.688542013, -8515772.251941537 4717812.595528045)",,,,,,no,
3812599942,102580425,0,1063805343,,residential,False,True,65.007,"LINESTRING (-8514320.167107785 4718941.415050036, -8514374.914033355 4718878.076628925)",,,,,,no,
3812599942,3812553076,0,"[11505567, 1063805343]",Blake Road,residential,False,"[False, True]",50.892,"LINESTRING (-8514320.167107785 4718941.415050036, -8514284.511474883 4718983.502453938, -8514292.593269914 4718990.018212587)",,,,,,no,
102607361,102562054,0,11511245,Hill Street,residential,False,False,54.493,"LINESTRING (-8516130.5893824 4718592.621876468, -8516196.04524299 4718567.318835522)",,,,,,no,
102607361,11485643864,0,11513597,Madison Place,residential,False,True,123.274,"LINESTRING (-8516130.5893824 4718592.621876468, -8516109.538866693 4718538.63640423, -8516072.70324719 4718444.799740858)",,,,,,no,
1685291737,102563442,0,11503355,South Acton Place,residential,False,True,63.66,"LINESTRING (-8515350.139564399 4718036.069793677, -8515372.38119866 4718051.920945808, -8515391.060609216 4718065.366522457, -8515395.969798759 4718070.9652715605, -8515399.60994611 4718077.981611117, -8515402.97179473 4718086.945349938, -8515405.476483272 4718093.18846984)",,,,,,no,
1685291747,102622192,0,11513535,Lafayette Avenue,residential,False,False,100.255,"LINESTRING (-8515665.619001308 4718244.184363784, -8515730.25109766 4718132.4228434265)",,,,,,no,
1685291747,102572036,0,11504734,Murray Avenue,residential,True,False,148.79999999999998,"LINESTRING (-8515665.619001308 4718244.184363784, -8515822.946837645 4718335.413034266, -8515831.807869112 4718339.494072295)",,,,,,no,
1685291747,102593348,0,11513535,Lafayette Avenue,residential,False,True,67.002,"LINESTRING (-8515665.619001308 4718244.184363784, -8515655.700434677 4718262.541722961, -8515653.173482237 4718274.183341594, -8515651.91557199 4718284.550550742, -8515651.91557199 4718297.581173958, -8515653.273669777 4718327.580309738)",,,,,,no,
102607662,102563439,0,11511296,Franklin Street,residential,False,False,101.127,"LINESTRING (-8515526.213602986 4718012.4864180675, -8515461.347735701 4718125.406466199)",,,,,,no,
