,fromnode,tonode,key,linknwid,highway,name,oneway,reversed,length,lanes,maxspeed,ref,access,junction,bridge,tunnel,geometry,inundationDepth,LS_0,DS_0,DS_1,time,recov,mean_downtime,std_downtime
779,102584929,9630753847,0,293941654,residential,East Street,0,False,7.214130686290839,,,,,,no,,"LINESTRING (-76.48989760000001 38.9788297, -76.4898151 38.9788395)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
780,102584929,7475369165,0,633517752,residential,State Circle,1,False,5.21483800837058,,20 mph,,,roundabout,no,,"LINESTRING (-76.48989760000001 38.9788297, -76.4898937 38.9788765)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
781,9630733047,9630733064,0,11503137,residential,Ellicott Avenue,0,False,167.7398795523761,,,,,,no,,"LINESTRING (-76.5015393 38.9768777, -76.50226549999999 38.9782766)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
782,9630733047,102562052,0,11503137,residential,Ellicott Avenue,0,True,5.036059256718525,,,,,,no,,"LINESTRING (-76.5015393 38.9768777, -76.50151750000001 38.9768357)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
783,9630733064,102562054,0,11503137,residential,Ellicott Avenue,0,False,5.82659198752132,,,,,,no,,"LINESTRING (-76.50226549999999 38.9782766, -76.5022907 38.9783252)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
784,9630733064,9630733047,0,11503137,residential,Ellicott Avenue,0,True,167.7398795523761,,,,,,no,,"LINESTRING (-76.50226549999999 38.9782766, -76.5015393 38.9768777)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
785,102552334,3812517082,0,11501294,residential,Turner Joy Road,1,False,162.2284318338188,,,,private,,no,,"LINESTRING (-76.4778508 38.9822934, -76.47777069999999 38.9823171, -76.4777065 38.9823249, -76.4776315 38.9823194, -76.47755479999999 38.9822883, -76.47653680000001 38.9816072, -76.47648820000001 38.9815634, -76.4764802 38.9814974, -76.4764881 38.98145)",13.764727376866032,0.734845894,0.265154106,0.734845894,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26515411 0.26515411 0.26515432 0.63257705 0.99999979 1.
 1.         1.         1.         1.        ]",2.204537682,1.324246010838239
786,9630733079,7755720282,0,11510018,residential,Jefferson Place,0,False,37.01691794163236,,,,,,no,,"LINESTRING (-76.50208550000001 38.9767289, -76.5022369 38.9770403)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
787,9630733079,102599278,0,11510018,residential,Jefferson Place,0,True,7.277709736489299,,,,,,no,,"LINESTRING (-76.50208550000001 38.9767289, -76.5020593 38.9766667)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
788,9630733081,764814696,0,1303099420,residential,Monticello Avenue,0,False,8.69087177236612,,,,,,no,,"LINESTRING (-76.50231049999999 38.9765127, -76.5023417 38.976587)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
789,9630733081,102627696,0,1303099420,residential,Monticello Avenue,0,True,47.32839739936268,,,,,,no,,"LINESTRING (-76.50231049999999 38.9765127, -76.5022991 38.9764856, -76.5022043 38.9762873, -76.5021661 38.9762095, -76.5021148 38.9761153)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
790,9630733136,102607817,0,1303099417,residential,Southgate Avenue,0,False,33.360558144755785,,,,,,no,,"LINESTRING (-76.5008251 38.976716, -76.5009429 38.9770017)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
791,9630733136,7607685709,0,1303099417,residential,Southgate Avenue,0,True,21.801074470820073,,,,,,no,,"LINESTRING (-76.5008251 38.976716, -76.5007481 38.9765293)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
792,102617954,102584619,0,11517308,residential,Phythian Road,0,False,17.286958960242245,,,,,,no,,"LINESTRING (-76.4924979 38.9868193, -76.4926382 38.9867085)",11.296600964265567,0.7104979048,0.28950209520000003,0.7104979048,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.2895021  0.2895021  0.2895023  0.64475105 0.9999998  1.
 1.         1.         1.         1.        ]",2.1314937144,1.3605941729019189
793,102617954,3812799152,0,11512854,residential,Ramsey Drive,0,False,234.90990622406204,,,,,,no,,"LINESTRING (-76.4924979 38.9868193, -76.49239110000001 38.9867574, -76.4922885 38.9867298, -76.49220149999999 38.9867189, -76.4921039 38.9867221, -76.49195779999999 38.9867503, -76.49178980000001 38.9868014, -76.4914974 38.9869146, -76.4913478 38.9869588, -76.4912336 38.986971, -76.4910737 38.986976, -76.4909329 38.986936, -76.4908167 38.9868716, -76.49036479999999 38.9865974, -76.4902304 38.9865144, -76.4900794 38.9864738)",13.773515876727801,0.7349228211,0.26507717890000004,0.7349228211,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26507718 0.26507718 0.26507739 0.63253859 0.99999979 1.
 1.         1.         1.         1.        ]",2.2047684632999998,1.32412320265332
794,102617954,102583146,0,11517307,residential,Phythian Road,0,True,148.93405869901062,,,,,,no,,"LINESTRING (-76.4924979 38.9868193, -76.4923878 38.9868968, -76.4923265 38.9869275, -76.4922715 38.9869476, -76.4919132 38.9870664, -76.4916837 38.9871389, -76.4915879 38.9871755, -76.4915191 38.9872174, -76.4914957 38.9872576, -76.4913919 38.9876796)",11.296600964265567,0.7104979048,0.28950209520000003,0.7104979048,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.2895021  0.2895021  0.2895023  0.64475105 0.9999998  1.
 1.         1.         1.         1.        ]",2.1314937144,1.3605941729019189
795,102618080,3158666143,0,11512872,secondary,College Avenue,0,False,75.97825388920973,2,25 mph,MD 450,,,no,,"LINESTRING (-76.4904592 38.9809842, -76.4910244 38.9804609)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
796,102618080,10032187116,0,11512872,secondary,College Avenue,0,True,56.52138232647116,2,25 mph,MD 450,,,no,,"LINESTRING (-76.4904592 38.9809842, -76.4900423 38.9813758)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
797,102618085,7475385917,0,11515712,secondary,Bladen Street,1,False,14.550233181856386,2,,MD 70,,,no,,"LINESTRING (-76.49201909999999 38.9795681, -76.4921512 38.9796492)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
798,102618085,768922858,0,501436474,secondary,College Avenue,0,False,12.141776001150017,2,25 mph,MD 450,,,no,,"LINESTRING (-76.49201909999999 38.9795681, -76.492109 38.9794842)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
799,102618085,1304010093,0,1079893518,secondary,College Avenue,0,True,4.856811702648879,2,25 mph,MD 450,,,no,,"LINESTRING (-76.49201909999999 38.9795681, -76.49198320000001 38.9796017)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
800,102618087,7308527344,0,509105506,secondary,Church Circle,1,False,15.517522077949529,,,MD 450,,roundabout,no,,"LINESTRING (-76.4929719 38.9787552, -76.49308790000001 38.9787177, -76.4930967 38.9787127, -76.49313170000001 38.9786933)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
801,102585562,102585565,0,402077769,residential,Conduit Street,0,True,131.45005843928413,,,,,,no,,"LINESTRING (-76.4927579 38.9746998, -76.4917753 38.975602)",2.1541269622144714,0.4781571992,0.5218428008,0.4781571992,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.5218428  0.5218428  0.52184294 0.7609214  0.99999986 1.
 1.         1.         1.         1.        ]",1.4344715976,1.498568175538556
802,102585565,102580651,0,11516817,residential,Cathedral Street,0,False,87.97005974881353,,,,,,no,,"LINESTRING (-76.4917753 38.975602, -76.4925351 38.9761283)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
803,102585565,102585562,0,402077769,residential,Conduit Street,0,False,131.45005843928413,,,,,,no,,"LINESTRING (-76.4917753 38.975602, -76.4927579 38.9746998)",2.1541269622144714,0.4781571992,0.5218428008,0.4781571992,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.5218428  0.5218428  0.52184294 0.7609214  0.99999986 1.
 1.         1.         1.         1.        ]",1.4344715976,1.498568175538556
