,id,geometry
217,102580423,POINT (-76.48662729999999 38.9809586)
218,102580425,POINT (-76.4859312 38.9804953)
219,639282744,POINT (-76.5028343 38.9871064)
220,639282806,POINT (-76.4957409 38.9818905)
221,639282830,POINT (-76.50028570000001 38.9855609)
222,11907903295,POINT (-76.5017139 38.992248)
223,102576005,POINT (-76.4978519 38.9796814)
224,102576009,POINT (-76.4978306 38.9800585)
225,102608839,POINT (-76.487138 38.9782282)
226,102576071,POINT (-76.48610619999999 38.9755621)
227,102608841,POINT (-76.4877917 38.9774726)
228,102608845,POINT (-76.486835 38.9780105)
229,102608850,POINT (-76.4868821 38.9779647)
230,10779963445,POINT (-76.4866342 38.9765846)
231,12112769136,POINT (-76.48749770000001 38.978012)
232,8219504855,POINT (-76.4984747 38.9931029)
233,102576378,POINT (-76.49520010000001 38.9799658)
234,102641931,POINT (-76.4909207 38.9738137)
235,102576468,POINT (-76.4870164 38.9824735)
236,7045788067,POINT (-76.50195119999999 38.976058)
237,5849821659,POINT (-76.48035640000001 38.9825112)
238,8433971740,POINT (-76.48662229999999 38.9765591)
239,102576703,POINT (-76.4875402 38.9819827)
240,3812700746,POINT (-76.48331760000001 38.9801003)
241,3812700752,POINT (-76.4831631 38.9799093)
242,3812799110,POINT (-76.48929889999999 38.9866758)
243,3812799152,POINT (-76.4900794 38.9864738)
244,102610258,POINT (-76.4984876 38.9930923)
245,102610260,POINT (-76.5007693 38.994514)
246,102610294,POINT (-76.4920948 38.9844805)
247,2358654348,POINT (-76.4867842 38.9780592)
248,7017051631,POINT (-76.4967335 38.9933413)
249,7017051635,POINT (-76.4969049 38.9933453)
250,7017051638,POINT (-76.49715860000001 38.9934351)
251,10031904484,POINT (-76.48680539999999 38.9769525)
252,7755720282,POINT (-76.5022369 38.9770403)
253,3812701967,POINT (-76.4864194 38.9812392)
254,3812701976,POINT (-76.48389539999999 38.9804913)
255,3812701993,POINT (-76.4859843 38.9805307)
256,8032565122,POINT (-76.50281200000001 38.9905132)
257,7936292740,POINT (-76.4935672 38.9778032)
258,7936292744,POINT (-76.4936908 38.9776898)
259,7936292748,POINT (-76.4939942 38.9783499)
260,8241068289,POINT (-76.4873881 38.9773162)
261,8241068297,POINT (-76.48782850000001 38.9772473)
262,3618163247,POINT (-76.4879275 38.9771246)
263,12112019634,POINT (-76.4864724 38.9784429)
264,12112019635,POINT (-76.4863737 38.9784477)
265,102644233,POINT (-76.50134679999999 38.9744394)
266,4166433371,POINT (-76.4976805 38.9781829)
267,5566053184,POINT (-76.4930908 38.9802365)
268,102579127,POINT (-76.4890358 38.9844068)
269,9630596038,POINT (-76.4941711 38.977273)
270,5184535511,POINT (-76.4858693 38.9804548)
271,3623992290,POINT (-76.4969 38.9900942)
272,7031700541,POINT (-76.5021349 38.9885871)
273,7308491863,POINT (-76.4974984 38.9778089)
274,5794741402,POINT (-76.48058229999999 38.9777728)
275,102612208,POINT (-76.4990535 38.9797409)
276,102612213,POINT (-76.4989842 38.9804849)
277,102645097,POINT (-76.5044795 38.9854027)
278,102645118,POINT (-76.50040079999999 38.9854497)
279,102579624,POINT (-76.4954398 38.9890307)
280,102579629,POINT (-76.49474669999999 38.988555)
281,102612485,POINT (-76.5017627 38.9752718)
282,102612488,POINT (-76.5031125 38.9749129)
283,12112019618,POINT (-76.4854225 38.9777742)
284,12112019619,POINT (-76.4853166 38.9777067)
285,12112019632,POINT (-76.4864585 38.9783679)
286,12112019636,POINT (-76.4863701 38.9783776)
287,12112019682,POINT (-76.48714029999999 38.9783083)
288,102613280,POINT (-76.50154310000001 38.9715559)
289,102646119,POINT (-76.4924244 38.9771131)
290,876659098,POINT (-76.4898547 38.9765715)
291,102580651,POINT (-76.4925351 38.9761283)
292,102580652,POINT (-76.49185900000001 38.9767655)
293,102646385,POINT (-76.4966974 38.9796373)
294,102646387,POINT (-76.5001913 38.9798076)
295,102613620,POINT (-76.4931934 38.9786541)
